record_origin,task_type,project_section,run_name,model_family,model_name,group_name,strategy_name,target,target_column,class_0_label,class_1_label,source_file,source_mtime_utc,output_dir,source_data_path,source_data_path_inferred,n_samples,n_features,train_size,val_size,test_size,train_original_size,train_generated_size,test_original_size,test_generated_size,auc,auprc,positive_rate,auprc_lift,acc,accuracy,balanced_accuracy,precision,recall,specificity,f1,log_loss,brier,r2,rmse,mae,tn,fp,fn,tp,chosen_threshold,train_loss,hyperparam_search_enabled,hyperparam_search_scoring,hyperparam_search_best_score,hyperparam_search_best_params,high_pain_recall_at_4,high_pain_precision_at_4,high_pain_f1_at_4,high_pain_subset_mae_at_4,high_pain_recall_at_5,high_pain_precision_at_5,high_pain_f1_at_5,high_pain_subset_mae_at_5
metrics_json,regression,models,dummy_raw_mean,dummy,dummy_mean_regressor,raw_mean,,术后第一天_静息痛,术后第一天_静息痛,,,models/dummy/outputs/raw_mean/metrics.json,2026-04-28T00:34:01.612680+00:00,models/dummy/outputs/raw_mean,data/processed/data_vectorized.csv,False,2679,64,2143,268,268,2143,0,268,0,,,,,,,,,,,,,,-0.00032420051709403097,1.1682547417610842,0.8717953628962049,,,,,,,,,,,0.0,undefined,undefined,3.90807279514699,0.0,undefined,undefined,6.408072795146991
metrics_json,regression,models,dummy_raw_median,dummy,dummy_median_regressor,raw_median,,术后第一天_静息痛,术后第一天_静息痛,,,models/dummy/outputs/raw_median/metrics.json,2026-04-28T00:34:01.648684+00:00,models/dummy/outputs/raw_median,data/processed/data_vectorized.csv,False,2679,64,2143,268,268,2143,0,268,0,,,,,,,,,,,,,,-0.0036838614215011223,1.1702149311449699,0.8395522388059702,,,,,,,,,,,0.0,undefined,undefined,4.0,0.0,undefined,undefined,6.5
metrics_json,regression,models,latent_pain_predict_z,latent_pain,latent_pain_predict_z,predict_z_strict_pca_all_pain,predict_z,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/predict_z/strict/pca_all_pain/metrics.json,2026-05-11T12:42:22.298146+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/predict_z/strict/pca_all_pain,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,59,2143,268,268,,,,,0.722495894909688,0.08060923898625727,0.026119402985074626,3.086182292616707,0.9738805970149254,0.9738805970149254,0.5,0.0,0.0,1.0,0.0,,,0.08533967638986795,1.1171129461887108,0.8314404558238242,261,0,7,0,4.0,,,,,,0.0,0.0,0.0,3.694154163320058,,,,
metrics_json,regression,models,latent_pain_predict_z,latent_pain,latent_pain_predict_z,predict_z_strict_pca_up_to_target_day,predict_z,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/predict_z/strict/pca_up_to_target_day/metrics.json,2026-05-11T12:42:28.110645+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/predict_z/strict/pca_up_to_target_day,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,59,2143,268,268,,,,,0.4542966611932129,0.041411513795598605,0.026119402985074626,1.5854693853172037,0.9738805970149254,0.9738805970149254,0.5,0.0,0.0,1.0,0.0,,,0.043527747350468826,1.1423609591124448,0.8452312774517338,261,0,7,0,4.0,,,,,,0.0,0.0,0.0,3.8283523102038712,,,,
metrics_json,regression,models,latent_pain_predict_z,latent_pain,latent_pain_predict_z,predict_z_strict_weighted_clinical_pain,predict_z,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/predict_z/strict/weighted_clinical_pain/metrics.json,2026-05-11T12:42:34.251173+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/predict_z/strict/weighted_clinical_pain,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,59,2143,268,268,,,,,0.7153804050355774,0.06721144918947208,0.026119402985074626,2.5732383403969314,0.9738805970149254,0.9738805970149254,0.5,0.0,0.0,1.0,0.0,,,0.05490014090916584,1.1355493520137525,0.8329482616534827,261,0,7,0,4.0,,,,,,0.0,0.0,0.0,3.81439651268269,,,,
metrics_json,regression,models,latent_pain_predict_z,latent_pain,latent_pain_predict_z,predict_z_temporal_pca_all_pain,predict_z,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/predict_z/temporal/pca_all_pain/metrics.json,2026-05-11T12:42:03.280514+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/predict_z/temporal/pca_all_pain,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,64,2143,268,268,,,,,0.6841817186644772,0.20726900448824895,0.026119402985074626,7.935441886121532,0.9701492537313433,0.9701492537313433,0.49808429118773945,0.0,0.0,0.9961685823754789,0.0,,,0.3524760991279955,0.9399290368200779,0.5439930389725096,260,1,7,0,4.0,,,,,,0.0,0.0,0.0,3.255630847724943,,,,
metrics_json,regression,models,latent_pain_predict_z,latent_pain,latent_pain_predict_z,predict_z_temporal_pca_up_to_target_day,predict_z,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/predict_z/temporal/pca_up_to_target_day/metrics.json,2026-05-11T12:42:09.421041+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/predict_z/temporal/pca_up_to_target_day,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,64,2143,268,268,,,,,0.6409414340448824,0.12957061656823166,0.026119402985074626,4.960703605755155,0.9701492537313433,0.9701492537313433,0.49808429118773945,0.0,0.0,0.9961685823754789,0.0,,,0.30118996701260814,0.9764426268805158,0.5483621452376125,260,1,7,0,4.0,,,,,,0.0,0.0,0.0,3.238730287261595,,,,
metrics_json,regression,models,latent_pain_predict_z,latent_pain,latent_pain_predict_z,predict_z_temporal_weighted_clinical_pain,predict_z,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/predict_z/temporal/weighted_clinical_pain/metrics.json,2026-05-11T12:42:15.617572+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/predict_z/temporal/weighted_clinical_pain,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,64,2143,268,268,,,,,0.6825396825396826,0.14246002624612877,0.026119402985074626,5.454183861994645,0.9701492537313433,0.9701492537313433,0.49808429118773945,0.0,0.0,0.9961685823754789,0.0,,,0.26657718622449367,1.0003324842398875,0.5582658100199661,260,1,7,0,4.0,,,,,,0.0,0.0,0.0,3.257646386045318,,,,
metrics_json,regression,models,latent_pain_raw,latent_pain,latent_pain_direct_baseline,direct_baseline,direct_baseline,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/raw/direct_baseline/metrics.json,2026-05-11T10:52:57.625510+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/raw/direct_baseline,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,64,2143,268,268,,,,,0.7493158182813355,0.2290089646969899,0.026119402985074626,8.767771791256184,0.9701492537313433,0.9701492537313433,0.49808429118773945,0.0,0.0,0.9961685823754789,0.0,,,0.4005373529064743,0.904374332974793,0.5299176625462704,260,1,7,0,4.0,,,,,,0.0,0.0,0.0,3.101309656555181,0.0,0.0,0.0,6.107480039999617
metrics_json,regression,models,latent_pain_raw,latent_pain,latent_pain_latent_ordinal,latent_ordinal,latent_ordinal,术后第一天_静息痛,术后第一天_静息痛,,,models/latent_pain/outputs/raw/latent_ordinal/metrics.json,2026-05-11T10:52:57.725518+00:00,/home/maolab-data/disk1/jlli/pain_prediction/models/latent_pain/outputs/raw/latent_ordinal,/home/maolab-data/disk1/jlli/pain_prediction/data/processed/data_vectorized.csv,False,2679,64,2143,268,268,,,,,0.6956759715380405,0.2097539639196164,0.026119402985074626,8.030580332922456,0.9701492537313433,0.9701492537313433,0.49808429118773945,0.0,0.0,0.9961685823754789,0.0,,,0.3591670346184268,0.9350602317697524,0.5465199337833017,260,1,7,0,4.0,,,,,,0.0,0.0,0.0,3.265907174024465,0.0,0.0,0.0,6.447592245153221
